// Data mode  : Standard
// Transmission speed  : 50Hz
// Acceleration sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,EOG_L1,EOG_R1,EOG_L2,EOG_R2,EOG_H1,EOG_H2,EOG_V1,EOG_V2,date1,unix,KSS,pvt-avg,pvt-median,pvt-sd,wrong taps,early taps,late taps,wake up,hrs_slept,sleep_ql,coffee,nap
,1,2017/08/19 02:21:40.31,0,0,0,518,-298,304,-656,816,960,-110,176,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,2,2017/08/19 02:21:40.33,0,0,0,109,-1029,104,-1349,1138,1453,460,622,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,3,2017/08/19 02:21:40.35,0,0,0,150,-1606,79,-1795,1756,1874,728,858,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,4,2017/08/19 02:21:40.37,0,0,0,-42,-1882,-100,-1817,1840,1717,962,958,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,5,2017/08/19 02:21:40.39,0,0,0,61,-1613,572,-1309,1674,1881,776,368,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,6,2017/08/19 02:21:40.41,0,0,0,1230,-943,1663,-587,2173,2250,-143,-538,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,7,2017/08/19 02:21:40.43,0,0,0,2047,-316,2047,-162,2363,2209,-865,-942,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,8,2017/08/19 02:21:40.45,0,0,0,2047,-152,2047,-310,2199,2357,-947,-868,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,9,2017/08/19 02:21:40.47,0,0,0,-1071,-544,-1661,-701,-527,-960,807,1181,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,10,2017/08/19 02:21:40.49,0,0,0,-1335,-752,-697,-804,-583,107,1043,750,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,11,2017/08/19 02:21:40.51,0,0,0,-333,-980,-554,-1275,647,721,656,914,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,12,2017/08/19 02:21:40.53,0,0,0,-1061,-1578,-1509,-1807,517,298,1319,1658,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,13,2017/08/19 02:21:40.55,0,0,0,-1786,-1941,-1709,-1983,155,274,1863,1846,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,14,2017/08/19 02:21:40.57,0,0,0,-1069,-1924,172,-1702,855,1874,1496,765,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,15,2017/08/19 02:21:40.59,0,0,0,1696,-1337,2047,-868,3033,2915,-179,-589,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,16,2017/08/19 02:21:40.61,0,0,0,2047,-371,2047,40,2418,2007,-838,-1043,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,17,2017/08/19 02:21:40.63,0,0,0,468,323,-742,564,145,-1306,-395,89,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
,18,2017/08/19 02:21:40.65,0,0,0,139,855,2047,1138,-716,909,-497,-1592,19-Aug-2017_11:23:49,1503109429,2,502,531,69,0,0,0,0:0,0,0,0,0
